test_id,test_name,algorithm,score,min_w,max_w,nqueues,arrival_interval_us,jobs_dispatched,jobs_attended,dispatch_jobs_per_s,attended_jobs_per_s,queue_dispatch_cv,queue_dispatch_min,queue_dispatch_mean,queue_dispatch_max,worker_completed_cv,active_workers,configured_workers,sample_low,sample_medium,sample_high,queue_low,queue_medium,rate_low,rate_medium,rho_low,rho_medium,config
204,w0_1_rho_loose,JSQ,0.5660288101376219,0.0,1.0,1024.0,50.0,200000.0,199999.0,20000.0,19892.642848,8.380764,0.0,195.3125,16644.0,1.722018,57.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/204_w0_1_rho_loose.json
204,w0_1_rho_loose,LSL,0.5697552499823042,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19898.050349,8.480686,0.0,195.3125,17294.0,1.22166,35.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/204_w0_1_rho_loose.json
204,w0_1_rho_loose,POWER_OF_2,0.9663261710600557,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19905.62742,0.072022,153.0,195.3125,242.0,0.072022,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/204_w0_1_rho_loose.json
204,w0_1_rho_loose,BAYES_PARTIAL,0.7668849840629232,0.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19893.675729,0.873734,0.0,195.311523,610.0,0.850766,1001.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/204_w0_1_rho_loose.json
205,w0_2_base_fast,JSQ,0.585358704549599,0.0,2.0,1024.0,50.0,200000.0,199999.0,20000.0,19892.706164,6.258954,0.0,195.3125,9102.0,1.111878,57.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/205_w0_2_base_fast.json
205,w0_2_base_fast,LSL,0.5920135473571271,0.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19910.301652,6.287732,0.0,195.311523,9184.0,0.651981,36.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/205_w0_2_base_fast.json
205,w0_2_base_fast,POWER_OF_2,0.9661828254974107,0.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19890.905793,0.071755,153.0,195.311523,243.0,0.071755,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/205_w0_2_base_fast.json
205,w0_2_base_fast,BAYES_PARTIAL,0.7695041047988712,0.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19886.147826,0.852341,1.0,195.3125,576.0,0.852341,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/205_w0_2_base_fast.json
206,w0_2_q_tight_rate_mid,JSQ,0.5848188508290728,0.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19890.947336,6.2541,0.0,195.311523,9077.0,1.162074,60.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/206_w0_2_q_tight_rate_mid.json
206,w0_2_q_tight_rate_mid,LSL,0.5889641674191461,0.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19890.113092,6.287129,0.0,195.3125,9291.0,0.813806,42.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/206_w0_2_q_tight_rate_mid.json
